2025-01-27 11:20:37,679 - INFO - | Parameter       | Value           |
|-----------------|-----------------|
| d_model         | 128            |
| n_heads         | 8              |
| d_f             | 256            |
| num_layers      | 3              |
| d_input         | 32             |
| num_classes     | 3              |
| dropout         | 0.1            |
| learning_rate   | 1e-06          |


2025-01-27 11:20:37,682 - INFO - Starting training...
2025-01-27 11:21:02,975 - INFO - Epoch 1: val_loss=1.4208, val_acc=0.00%
2025-01-27 11:21:28,683 - INFO - Epoch 1: val_loss=1.4104, val_acc=0.00%
2025-01-27 11:21:29,085 - INFO - ####################Training epoch 0####################
2025-01-27 11:21:54,045 - INFO - Epoch 1: train_loss=1.4172
2025-01-27 11:22:43,624 - INFO - Epoch 1: train_loss=1.4075
2025-01-27 11:23:32,151 - INFO - Epoch 1: train_loss=1.3783
2025-01-27 11:24:16,614 - INFO - Epoch 1: train_loss=1.3879
2025-01-27 11:25:06,242 - INFO - Epoch 1: train_loss=1.4025
2025-01-27 11:25:58,513 - INFO - Epoch 1: train_loss=1.3925
2025-01-27 11:26:49,012 - INFO - Epoch 1: train_loss=1.3871
2025-01-27 11:27:40,464 - INFO - Epoch 1: train_loss=1.3829
2025-01-27 11:28:29,237 - INFO - Epoch 1: train_loss=1.3624
2025-01-27 11:29:16,616 - INFO - Epoch 1: train_loss=1.3699
2025-01-27 11:30:07,434 - INFO - Epoch 1: train_loss=1.4018
2025-01-27 11:30:55,357 - INFO - Epoch 1: train_loss=1.3385
2025-01-27 11:31:45,779 - INFO - Epoch 1: train_loss=1.3638
2025-01-27 11:32:34,314 - INFO - Epoch 1: train_loss=1.3631
2025-01-27 11:33:28,408 - INFO - Epoch 1: train_loss=1.3759
2025-01-27 11:34:18,028 - INFO - Epoch 1: train_loss=1.3512
2025-01-27 11:35:06,941 - INFO - Epoch 1: train_loss=1.3511
2025-01-27 11:35:58,317 - INFO - Epoch 1: train_loss=1.3549
2025-01-27 11:36:47,302 - INFO - Epoch 1: train_loss=1.2971
2025-01-27 11:37:39,553 - INFO - Epoch 1: train_loss=1.3093
2025-01-27 11:38:34,787 - INFO - Epoch 1: train_loss=1.3411
2025-01-27 11:39:20,143 - INFO - Epoch 1: train_loss=1.3337
2025-01-27 11:40:15,691 - INFO - Epoch 1: train_loss=1.3224
2025-01-27 11:41:07,828 - INFO - Epoch 1: train_loss=1.3177
2025-01-27 11:41:54,099 - INFO - Epoch 1: train_loss=1.3123
2025-01-27 11:42:42,536 - INFO - Epoch 1: train_loss=1.2949
2025-01-27 11:43:28,765 - INFO - Epoch 1: train_loss=1.3173
2025-01-27 11:44:17,136 - INFO - Epoch 1: train_loss=1.3070
2025-01-27 11:45:08,215 - INFO - Epoch 1: train_loss=1.2968
2025-01-27 11:46:01,158 - INFO - Epoch 1: train_loss=1.2781
2025-01-27 11:46:53,812 - INFO - Epoch 1: train_loss=1.3002
2025-01-27 11:47:44,522 - INFO - Epoch 1: train_loss=1.2822
2025-01-27 11:48:34,755 - INFO - Epoch 1: train_loss=1.2954
2025-01-27 11:49:25,026 - INFO - Epoch 1: train_loss=1.2521
2025-01-27 11:50:11,284 - INFO - Epoch 1: train_loss=1.2873
2025-01-27 11:51:00,157 - INFO - Epoch 1: train_loss=1.2747
